"P10747" "P01889" "P10321" "P28068" "P20036" "HLA.DQA2" "P01903" "P29459" "Q9UL17" "Q00653" "O75293" "P10144" "Q01201" "P19838" "P01579" "P29460" "P05112" "P14778" "Q9NRA0" "O95257" "Q99665" "P01584" "P40763" "P29597" "P12544" "O95936" "P42226" "P01100" "P42701" "O15524" "Q13568" "Q14765" "P42224" "P48023" "P05412" "O60674" "Q04206"
"P10747" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P01889" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P10321" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P28068" 0 0 0 1 0.1544 0 0.1492 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P20036" 0 0 0 0.1544 1 0 0.1758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HLA-DQA2" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P01903" 0 0 0 0.1492 0.1758 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P29459" 0 0 0 0 0 0 0 1 0.9 0.9 0.899 0.9 0.899 0.8 0.9 0.891 0.9 0.9 0.899 0.899 0.9 0.9 0.9 0.9 0.899 0.899 0.9 0.899 0.9 0.899 0.8 0.9 0.9 0.899 0.8 0.9 0.8
"Q9UL17" 0 0 0 0 0 0 0 0.9 1 0 0 0.0808 0 0.1468 0.8 0.9 0 0 0 0 0.7866 0 0.152 0.9 0.078 0 0.0666 0.153 0.7866 0 0 0.0666 0.9 0.0822 0.1522 0.9 0.154
"Q00653" 0 0 0 0 0 0 0 0.9 0 1 0.0688 0 0.9 0.8072 0 0.9 0 0 0 0 0.9 0.9 0 0.7846 0 0 0 0 0.9 0 0 0 0 0 0.16 0.9 0.8046
"O75293" 0 0 0 0 0 0 0 0.899 0 0.0688 1 0 0 0 0 0.9 0 0 0 0.7746 0.899 0 0.063 0.899 0 0 0 0.0766 0.899 0 0 0 0 0 0.0778 0.9 0
"P10144" 0 0 0 0 0 0 0 0.9 0.0808 0 0 1 0 0 0.0956 0.9 0 0 0 0 0.9 0 0 0.9 0.127 0 0 0 0.9 0 0 0.0792 0 0.0868 0 0.899 0
"Q01201" 0 0 0 0 0 0 0 0.899 0 0.9 0 0 1 0.9 0 0.9 0 0 0 0 0.899 0 0 0.899 0 0 0 0 0.899 0 0 0 0 0 0 0.9 0
"P19838" 0 0 0 0 0 0 0 0.8 0.1468 0.8072 0 0 0.9 1 0 0.9 0 0.9 0 0 0 0.9 0.072 0.9 0 0 0 0 0.9 0 0 0.9 0 0 0.1562 0.9 0.7714
"P01579" 0 0 0 0 0 0 0 0.9 0.8 0 0 0.0956 0 0 1 0.9 0 0 0 0 0.9 0 0.9 0.9 0.0902 0.9 0 0.9 0.9 0.9 0 0.9 0.9 0.0962 0.9 0.9 0
"P29460" 0 0 0 0 0 0 0 0.891 0.9 0.9 0.9 0.9 0.9 0.9 0.9 1 0.9 0.9 0.899 0.899 0.8922 0.9 0.9 0.9 0.899 0.899 0.9 0.9 0.8972 0.9 0.8 0.9 0.9 0.9 0.8 0.9 0.9
"P05112" 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0.9 1 0 0 0 0.9 0 0 0.9 0 0 0.9 0.9 0.9 0.9 0 0 0 0 0.9 0.9 0
"P14778" 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0.9 0 0.9 0 1 0 0 0.9 0.9 0 0.9 0 0 0 0 0.9 0 0 0 0 0 0 0.9 0.9
"Q9NRA0" 0 0 0 0 0 0 0 0.899 0 0 0 0 0 0 0 0.899 0 0 1 0 0.9 0 0 0.9 0 0 0 0 0.9 0 0 0.899 0 0 0 0.9 0
"O95257" 0 0 0 0 0 0 0 0.899 0 0 0.7746 0 0 0 0 0.899 0 0 0 1 0.899 0 0 0.899 0 0 0 0 0.899 0 0 0 0 0 0 0.899 0
"Q99665" 0 0 0 0 0 0 0 0.9 0.7866 0.9 0.899 0.9 0.899 0 0.9 0.8922 0.9 0.9 0.9 0.899 1 0.9 0.9 0.9 0.9 0.9 0.7644 0.9 0.7842 0.899 0 0.7644 0.9 0.9 0 0.8638 0
"P01584" 0 0 0 0 0 0 0 0.9 0 0.9 0 0 0 0.9 0 0.9 0 0.9 0 0 0.9 1 0 0.9 0 0 0 0.8 0.9 0 0.8 0 0 0 0.8 0.9 0.9
"P40763" 0 0 0 0 0 0 0 0.9 0.152 0 0.063 0 0 0.072 0.9 0.9 0 0 0 0 0.9 0 1 0.9 0 0 0 0 0.9 0 0 0.9102 0.9 0 0.061 0.9 0.0798
"P29597" 0 0 0 0 0 0 0 0.9 0.9 0.7846 0.899 0.9 0.899 0.9 0.9 0.9 0.9 0.9 0.9 0.899 0.9 0.9 0.9 1 0.899 0.899 0.9 0.9 0.9 0.9 0 0.9 0.9 0.9 0 0.9052 0.9
"P12544" 0 0 0 0 0 0 0 0.899 0.078 0 0 0.127 0 0 0.0902 0.899 0 0 0 0 0.9 0 0 0.899 1 0 0 0 0.8092 0 0 0.0808 0 0.0878 0 0.899 0
"O95936" 0 0 0 0 0 0 0 0.899 0 0 0 0 0 0 0.9 0.899 0 0 0 0 0.9 0 0 0.899 0 1 0 0 0.899 0 0 0 0 0 0 0.899 0
"P42226" 0 0 0 0 0 0 0 0.9 0.0666 0 0 0 0 0 0 0.9 0.9 0 0 0 0.7644 0 0 0.9 0 0 1 0 0.7644 0.9 0 0.0666 0.9 0 0 0.9 0
"P01100" 0 0 0 0 0 0 0 0.899 0.153 0 0.0766 0 0 0 0.9 0.9 0.9 0 0 0 0.9 0.8 0 0.9 0 0 0 1 0.9 0 0 0 0 0.9 0.7958 0.9 0
"P42701" 0 0 0 0 0 0 0 0.9 0.7866 0.9 0.899 0.9 0.899 0.9 0.9 0.8972 0.9 0.9 0.9 0.899 0.7842 0.9 0.9 0.9 0.8092 0.899 0.7644 0.9 1 0.899 0 0.7644 0.9 0.7908 0 0.9 0.899
"O15524" 0 0 0 0 0 0 0 0.899 0 0 0 0 0 0 0.9 0.9 0.9 0 0 0 0.899 0 0 0.9 0 0 0.9 0 0.899 1 0 0 0.9 0 0 0.9 0
"Q13568" 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Q14765" 0 0 0 0 0 0 0 0.9 0.0666 0 0 0.0792 0 0.9 0.9 0.9 0 0 0.899 0 0.7644 0 0.9102 0.9 0.0808 0 0.0666 0 0.7644 0 0 1 0 0 0.9 0.9 0.9
"P42224" 0 0 0 0 0 0 0 0.9 0.9 0 0 0 0 0 0.9 0.9 0 0 0 0 0.9 0 0.9 0.9 0 0 0.9 0 0.9 0.9 0 0 1 0 0 0.9 0
"P48023" 0 0 0 0 0 0 0 0.899 0.0822 0 0 0.0868 0 0 0.0962 0.9 0 0 0 0 0.9 0 0 0.9 0.0878 0 0 0.9 0.7908 0 0 0 0 1 0.9 0.8708 0
"P05412" 0 0 0 0 0 0 0 0.8 0.1522 0.16 0.0778 0 0 0.1562 0.9 0.8 0.9 0 0 0 0 0.8 0.061 0 0 0 0 0.7958 0 0 0 0.9 0 0.9 1 0 0
"O60674" 0 0 0 0 0 0 0 0.9 0.9 0.9 0.9 0.899 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.899 0.8638 0.9 0.9 0.9052 0.899 0.899 0.9 0.9 0.9 0.9 0 0.9 0.9 0.8708 0 1 0.9
"Q04206" 0 0 0 0 0 0 0 0.8 0.154 0.8046 0 0 0 0.7714 0 0.9 0 0.9 0 0 0 0.9 0.0798 0.9 0 0 0 0 0.899 0 0 0.9 0 0 0 0.9 1
