#genename	UAC	RA-CANCER-FLAG
CASP8	Q14790	1
CBL	P22681	1
CHUK	O15111	1
COL4A4	COL4A4	1
CTNNB1	P35222	1
EP300	Q09472	1
EPAS1	Q99814	1
ERBB2	P04626	1
FOXO1	Q9R1E0	1
FZD4	Q9ULV1	1
IKBKB	O14920	1
ITGAV	P06756	1
ITGB1	P05556	1
JUN	P05412	1
KIT	P10721	1
KRAS	P01116	1
MAPK10	P53779	1
MAPK3	P27361	1
NFKB1	P19838	1
NTRK1	P04629	1
PIAS1	O75925	1
PIAS2	O75928	1
PLCG1	P19174	1
PTK2	Q05397	1
RAC1	P63000	1
RHOA	P61586	1
RUNX1	Q01196	1
SMAD4	Q13485	1
STAT1	P42224	1
STAT5A	P42229	1
TCF7L2	Q9NQB0	1
TPM3	P06753	1
