A0A183 GO:0031424,
A0AVF1 GO:0042384,GO:0036064,GO:0072372,
A0AVK6 GO:0033301,GO:0008283,GO:0060718,GO:0070365,GO:0032466,GO:0000122,GO:0001890,GO:0032877,GO:0045944,GO:0002040,GO:0006351,GO:0060707,GO:0001047,GO:0003700,GO:0003714,GO:0005634,GO:0005667,
A0M8Q6 GO:0006956,GO:0006958,GO:0038095,GO:0038096,GO:0045087,GO:0050776,GO:0003823,GO:0005576,GO:0005886,
A0PJK1 GO:0006814,GO:0055085,GO:0005215,GO:0070062,GO:0016021,GO:0005886,
A0PJW8 GO:0006915,GO:0030154,
A0PJX4 GO:0007275,GO:0005789,GO:0016021,
A0PJY2 GO:0007411,GO:0021797,GO:0008285,GO:0000122,GO:0001764,GO:0021772,GO:0045666,GO:0045893,GO:0006351,GO:0046872,GO:0000978,GO:0005634,
A0PJZ3 GO:0016266,GO:0035252,GO:0016021,
A1A4S6 GO:0006915,GO:0007010,GO:0043066,GO:0042981,GO:0051056,GO:0007264,GO:0005100,GO:0005829,GO:0048471,GO:0005886,
A1A4Y4 GO:0006914,GO:0006954,GO:0045087,GO:0005525,GO:0016817,GO:0000421,GO:0042995,GO:0000139,GO:0001891,GO:0030670,
A1A519 GO:0045893,GO:0006366,GO:0003677,GO:0046872,GO:0005634,
A1A5B4 GO:0034220,GO:0055085,GO:0016021,GO:0005622,GO:0005886,
A1A5C7 GO:0006811,GO:0022857,GO:0016021,
A1E959 GO:0031214,GO:0042475,GO:0005737,GO:0005576,GO:0043205,GO:0005634,
A1KZ92 GO:0042744,GO:0055114,GO:0004519,GO:0020037,GO:0046872,GO:0004601,GO:0005737,GO:0005615,
A1L190 GO:0043065,GO:0007131,GO:0007283,GO:0007130,GO:0000801,GO:0005694,GO:0005634,
A1L3X0 GO:0044255,GO:0034626,GO:0019367,GO:0035338,GO:0044281,GO:0019432,GO:0042761,GO:0016740,GO:0005783,GO:0005789,GO:0016021,
A1L4H1 GO:0042494,GO:0045087,GO:0007275,GO:2000483,GO:0006898,GO:0050840,GO:0001968,GO:0043236,GO:0005044,GO:0005737,GO:0031012,GO:0005576,GO:0016020,
A1X283 GO:0060612,GO:0060348,GO:0030154,GO:0022617,GO:0001654,GO:0007507,GO:0071800,GO:0045600,GO:0072657,GO:0001501,GO:0006801,GO:0080025,GO:0032266,GO:0070273,GO:0010314,GO:0042169,GO:0030054,GO:0042995,GO:0005737,GO:0002102,
A1Z1Q3 GO:0007420,GO:0006974,GO:0051725,GO:0042278,GO:0019213,GO:0016798,GO:0005634,
A2A288 GO:0030308,GO:2000134,GO:0004519,GO:0046872,GO:0005737,GO:0005634,
A2A3K4 GO:0060271,GO:0004725,GO:0008138,GO:0005929,
A2BFH1 GO:0006457,GO:0003755,GO:0005737,
A2PYH4 GO:0000712,GO:0005524,GO:0008026,GO:0003676,
A2RRD8 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0003700,GO:0005634,
A2RRP1 GO:2000623,GO:0000956,GO:0005737,
A2RTX5 GO:0006435,GO:0005524,GO:0004829,GO:0005737,
A2RU30 GO:0010387,GO:0033089,GO:0050862,GO:0008180,GO:0005737,
A2RU54 GO:0007420,GO:0030154,GO:0042472,GO:0008284,GO:0006351,GO:0043565,GO:0003700,GO:0005634,
A2RUB6 GO:0060060,GO:0046548,
A2RUC4 GO:0031591,GO:0005506,GO:0016706,GO:0042803,GO:0000049,
A2RUS2 GO:0044257,GO:0008333,GO:0032313,GO:0017112,
A2RUU4 GO:0007586,GO:0016042,GO:0008047,GO:0005576,
A2VCK2 GO:0035556,
A2VDF0 GO:0006004,GO:0042806,GO:0016857,
A2VEC9 GO:0007155,GO:0030414,GO:0005615,
A3KN83 GO:0006355,
A3QJZ6 GO:0043066,GO:0045596,GO:0048387,GO:0045892,GO:0008284,
A4D0S4 GO:0007155,GO:0005604,
A4D126 GO:0007411,GO:0008299,GO:0035269,GO:0016779,
A4D1B5 GO:0034205,GO:0030162,GO:0001540,GO:0005794,GO:0005802,
A4D1F6 GO:0007165,
A4D1S5 GO:0015031,GO:0007264,GO:0005525,GO:0070062,GO:0005886,
A4D2B8 GO:0006200,GO:0006298,GO:0007131,GO:0016446,GO:0005524,GO:0016887,GO:0016301,GO:0030983,GO:0032407,GO:0003697,GO:0032300,GO:0032389,
A4D2P6 GO:0060292,GO:0030054,GO:0045211,
A4GXA9 GO:0006310,GO:0006281,GO:0003677,GO:0004519,GO:0005634,
A4IF30 GO:0006810,GO:0016021,
A4QPB2 GO:0060070,GO:0044332,GO:0042813,GO:0017147,
A4QPH2 GO:0046854,GO:0048015,GO:0016301,GO:0016773,
A5A3E0 GO:0001895,GO:0072562,GO:0005938,GO:0005615,
A5D6W6 GO:0034389,GO:0010890,GO:0005789,GO:0030176,
A5D8V6 GO:0016197,GO:0075733,GO:0061024,GO:0015031,GO:0019058,GO:0016032,GO:0019082,GO:0019068,GO:0010008,GO:0000813,GO:0070062,GO:0031902,
A5LHX3 GO:0031145,GO:0042590,GO:0002479,GO:0002474,GO:0006915,GO:0034641,GO:0006977,GO:0010467,GO:0000278,GO:0016071,GO:0043066,GO:0051437,GO:0000209,GO:0042981,GO:0006521,GO:0051439,GO:0016070,GO:0044281,GO:0016032,GO:0004298,GO:0005829,GO:0005634,GO:0005839,
A5PKW4 GO:0030182,GO:0032012,GO:0043087,GO:0007165,GO:0005086,GO:0005543,GO:0004871,GO:0030054,GO:0016021,GO:0005886,GO:0001726,
A5X5Y0 GO:0034220,GO:0055085,GO:0005230,GO:0016021,GO:0005886,
A5YM72 GO:0006200,GO:0035499,GO:0005524,GO:0016887,GO:0047730,GO:0046872,
A6BM72 GO:0034109,GO:0010842,GO:0016323,GO:0016021,
A6H8M9 GO:0007156,GO:0005509,GO:0016021,GO:0005886,
A6NC05 GO:0055114,GO:0005739,
A6NC42 GO:0007275,GO:0003723,GO:0005737,
A6NCE7 GO:0006914,GO:0000421,GO:0031410,GO:0012505,GO:0005874,
A6NCL1 GO:0007049,GO:0008283,GO:0006260,GO:0006275,GO:0003682,GO:0005634,
A6NCL2 GO:0007586,GO:0016042,GO:0008047,GO:0005576,
A6NCS4 GO:0055014,GO:0030154,GO:0048565,GO:0035050,GO:0021854,GO:0043066,GO:0060039,GO:0060037,GO:0008284,GO:0043586,GO:0006351,GO:0055015,GO:0043565,GO:0003700,GO:0005634,
A6NCW0 GO:0006915,GO:0006511,GO:0008234,GO:0005783,GO:0005634,
A6NCW7 GO:0006511,GO:0005783,GO:0005634,
A6ND91 GO:0009435,GO:0006742,GO:0033735,GO:0050661,
A6NDB9 GO:0001960,GO:0032496,GO:0008063,GO:0005524,GO:0005737,GO:0005886,
A6NDD2 GO:0042742,GO:0005576,
A6NDD5 GO:0009607,GO:0005794,GO:0016021,
A6NDE4 GO:0008584,GO:0006397,GO:0008380,GO:0007283,GO:0000166,GO:0003723,GO:0005634,
A6NDG6 GO:0005975,GO:0016311,GO:0035335,GO:0000287,GO:0098519,GO:0008967,GO:0004725,
A6NDJ8 GO:0015031,GO:0007264,GO:0005525,
A6NDV4 GO:0007160,GO:0040008,GO:0007346,GO:0009986,GO:0005783,GO:0016021,GO:0005739,GO:0005634,GO:0005886,
A6NDX5 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
A6NDZ8 GO:0006355,GO:0006351,
A6NE02 GO:0045071,GO:0009615,GO:0005576,GO:0005886,
A6NE82 GO:0006355,GO:0006351,
A6NEJ1 GO:0006355,GO:0006351,GO:0003676,GO:0005634,
A6NEQ0 GO:0006397,GO:0008380,GO:0000166,GO:0003723,GO:0005634,
A6NF01 GO:0051028,GO:0015031,GO:0005643,
A6NF36 GO:0008585,
A6NFA1 GO:0008152,GO:0030178,GO:0018158,GO:0016055,GO:0046872,GO:0004222,GO:0017147,GO:0031301,GO:0005887,
A6NFD8 GO:0007417,GO:0021858,GO:0035264,GO:0010259,GO:0000122,GO:0009791,GO:0001967,GO:0006351,GO:0003677,GO:0003700,GO:0005634,GO:0005667,
A6NFF2 GO:0006334,GO:0005634,
A6NFI3 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
A6NFN3 GO:0006397,GO:0000381,GO:0008380,GO:0003677,GO:0000166,GO:0003723,GO:0005737,GO:0005634,GO:0043204,
A6NFQ7 GO:0006351,GO:0043565,GO:0003700,GO:0005634,
A6NFX1 GO:0006810,GO:0016021,
A6NFY7 GO:0016226,GO:0034553,GO:0005759,GO:0005739,
A6NG13 GO:0005975,GO:0016758,GO:0005576,GO:0016020,
A6NG73 GO:0006397,GO:0004721,GO:0005737,GO:0005634,
A6NGB9 GO:0030154,GO:0038096,GO:0045087,GO:0007275,GO:0007283,GO:0005829,
A6NGD5 GO:0006357,GO:0006366,GO:0046872,GO:0003676,GO:0000981,GO:0005634,
A6NGE7 GO:0019428,GO:0006144,GO:0019628,GO:0016831,GO:0005777,
A6NGG8 GO:0050896,GO:0007601,GO:0001750,GO:0072372,
A6NGN4 GO:0043066,GO:0045596,GO:0048387,GO:0045892,GO:0008284,
A6NGQ2 GO:0043623,GO:0007566,GO:0009880,GO:0035088,GO:0009566,GO:0001701,GO:0006468,GO:0003723,GO:0045177,GO:0005938,GO:0043234,
A6NGU5 GO:0006750,GO:0006749,GO:0019370,GO:0003840,GO:0036374,GO:0031362,GO:0016021,
A6NH21 GO:0008654,GO:0016021,
A6NH57 GO:0007264,GO:0005525,GO:0005622,
A6NHC0 GO:0006508,GO:0005509,GO:0004198,GO:0005737,GO:0005794,
A6NHJ4 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
